,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,remotework,salary
819,No,non-travel,556.26,Research & Development,23,Bachelor,,820,2,Male,69.53,3,2,Laboratory technician,2,Married,11681.39,4,No,12,3.0,3,Part Time,1,,3,4.0,3,,1,2,1979,Yes,53914.11
820,Yes,travel_rarely,290.04,Human Resources,6,Masters,Human Resources,821,3,Male,,3,1,Human resources,1,Divorced,6090.75,4,No,22,4.0,4,,0,,3,3.0,3,,0,2,1986,Yes,28111.13
821,No,non-travel,1944.22,Unknown,2,Masters,Human Resources,822,3,Female,243.03,2,5,Manager,4,Unknown,40828.67,9,No,21,4.0,4,Full Time,1,,3,3.0,3,,2,2,1964,No,188440.0
822,No,non-travel,290.04,Research & Development,7,High School or Below,,823,4,Male,,2,1,Research scientist,4,Married,6090.75,1,No,11,3.0,3,Part Time,2,,2,,2,,2,1,1998,Yes,28111.13
823,No,non-travel,488.94,Research & Development,26,Bachelor,Medical,824,2,Female,,4,1,Research scientist,3,Single,10267.83,4,No,12,3.0,4,,0,,2,3.0,3,,1,2,1980,Yes,47390.04
824,No,travel_frequently,1032.49,Sales,12,Bachelor,,825,3,Female,,3,3,Sales executive,4,Single,21682.23,4,No,11,3.0,4,Part Time,0,16.0,3,,2,,2,1,1973,No,100071.84
825,Yes,travel_rarely,556.26,Sales,20,Bachelor,,826,2,Female,,1,2,Sales executive,3,Unknown,11681.39,3,Yes,11,3.0,3,Part Time,1,4.0,2,3.0,2,,2,2,1992,Yes,53914.11
826,No,non-travel,556.26,Research & Development,6,Professional Certification,Medical,827,2,Male,,3,2,Manufacturing director,2,Divorced,11681.39,6,No,20,4.0,4,Part Time,2,7.0,0,3.0,3,,0,1,1987,No,53914.11
827,Yes,travel_frequently,1098.81,Research & Development,16,Masters,,828,1,Male,,1,3,Manufacturing director,4,Unknown,23075.0,2,No,15,3.0,4,Full Time,0,18.0,2,3.0,4,,0,3,1972,No,106500.0
828,No,non-travel,556.26,Sales,28,Bachelor,Life Sciences,829,1,Male,,2,2,Sales executive,3,Unknown,11681.39,2,No,18,3.0,4,Part Time,0,,3,3.0,2,,2,2,1998,No,53914.11
829,No,travel_rarely,445.4,Research & Development,3,Doctor,Technical Degree,830,4,Female,,3,2,Research scientist,3,Unknown,9353.5,3,Yes,20,4.0,2,,0,19.0,2,,3,,2,2,1985,No,43170.0
830,No,travel_rarely,290.04,Research & Development,5,Bachelor,Technical Degree,831,4,Female,,3,1,Research scientist,1,Divorced,6090.75,5,No,14,,4,Part Time,1,8.0,3,3.0,3,,2,2,1993,Yes,28111.13
831,No,non-travel,290.04,Research & Development,36,High School or Below,Medical,832,3,Male,,3,1,Research scientist,4,Married,6090.75,1,No,24,4.0,1,,2,2.0,6,3.0,2,,2,2,2001,Yes,28111.08
832,No,non-travel,208.83,Research & Development,9,Bachelor,Medical,833,4,Male,26.1,3,1,Research scientist,2,Unknown,4385.33,6,No,18,3.0,4,Part Time,1,,1,1.0,2,,2,2,1996,Yes,20240.0
833,No,non-travel,290.04,Research & Development,21,Bachelor,Medical,834,3,Male,,3,1,Research scientist,4,Married,6090.75,1,No,11,3.0,3,Part Time,1,5.0,2,1.0,5,,0,2,1995,Yes,28111.13
834,No,non-travel,315.51,Research & Development,17,Bachelor,,835,3,Male,,3,1,Research scientist,2,Unknown,6625.67,0,No,16,3.0,4,Full Time,1,6.0,3,2.0,5,,1,1,1996,Yes,30580.0
835,No,travel_rarely,290.04,Research & Development,8,Bachelor,Life Sciences,836,3,Female,36.25,3,1,Research scientist,1,Divorced,6090.75,4,No,18,3.0,3,Part Time,1,,3,,2,,2,2,1967,Yes,28111.13
836,No,travel_rarely,290.04,Research & Development,9,Professional Certification,,837,3,Female,,3,1,Laboratory technician,4,Single,6090.75,1,No,12,,3,Part Time,0,,3,,2,,2,1,1985,Yes,28111.13
837,No,travel_rarely,405.37,Research & Development,12,High School or Below,Medical,838,3,Female,,3,1,Research scientist,4,Unknown,8512.83,8,No,23,4.0,3,Full Time,1,7.0,0,3.0,4,,0,2,1992,Yes,39290.0
838,No,travel_rarely,290.04,Research & Development,27,Professional Certification,Medical,839,4,Female,,3,1,Research scientist,2,Unknown,6090.75,2,No,15,3.0,4,,0,9.0,3,3.0,3,,1,2,1989,Yes,28111.08
839,No,non-travel,290.04,Research & Development,1,Bachelor,,840,3,Male,,2,1,Laboratory technician,3,Unknown,6090.75,2,No,15,3.0,4,Part Time,1,,2,2.0,3,,0,2,1973,No,28111.13
840,No,non-travel,556.26,Research & Development,13,Professional Certification,,841,4,Female,,4,2,Manufacturing director,1,Divorced,11681.39,1,No,11,3.0,3,,2,5.0,3,3.0,4,"2,0",1,3,1970,No,53914.08
841,No,travel_frequently,456.55,Research & Development,24,Bachelor,Medical,842,2,Female,,3,2,Laboratory technician,2,Single,9587.5,5,No,11,3.0,4,Part Time,0,,5,3.0,6,,1,2,1988,Yes,44250.0
842,No,travel_frequently,556.26,Research & Development,1,High School or Below,,843,3,Male,,2,2,Manufacturing director,1,Married,11681.39,5,No,19,3.0,3,Part Time,1,,1,3.0,2,,2,0,1996,No,53914.11
843,No,non-travel,556.26,Research & Development,38,Professional Certification,,844,3,Male,69.53,3,2,Laboratory technician,4,Married,11681.39,8,No,15,3.0,3,Part Time,1,,2,4.0,7,,3,7,1983,Yes,53914.11
844,No,non-travel,240.19,Research & Development,22,Bachelor,Life Sciences,845,2,Male,,4,1,Research scientist,2,Unknown,5044.0,1,No,16,3.0,1,Part Time,1,4.0,2,2.0,4,,2,2,2001,No,23280.0
845,No,non-travel,556.26,Research & Development,10,Doctor,Life Sciences,846,4,Male,69.53,2,2,Healthcare representative,4,Unknown,11681.39,9,No,14,3.0,4,Part Time,1,5.0,5,1.0,3,,0,2,1983,Yes,53914.11
846,No,non-travel,1032.49,Research & Development,1,Masters,,847,4,Male,,3,3,Healthcare representative,1,Unknown,21682.23,7,No,16,3.0,3,,1,17.0,3,3.0,4,,0,3,1977,Yes,100071.84
847,Yes,non-travel,274.13,Research & Development,3,Bachelor,Technical Degree,848,4,Female,,3,1,Research scientist,1,Unknown,5756.83,5,Yes,11,3.0,3,,0,8.0,5,3.0,5,,0,4,1993,Yes,26570.04
848,Yes,non-travel,290.04,Research & Development,1,Bachelor,,849,3,Male,,3,1,Research scientist,3,Single,6090.75,0,No,14,3.0,4,Part Time,0,,1,2.0,6,,1,5,1994,No,28111.13
849,No,non-travel,612.86,Sales,3,Bachelor,,850,4,Female,76.61,3,2,Sales executive,1,Married,12870.0,2,No,14,3.0,4,Full Time,1,16.0,4,3.0,6,,0,5,1969,No,59400.0
850,No,travel_rarely,270.52,Research & Development,4,Masters,,851,3,Female,33.82,2,1,Research scientist,2,Married,5681.0,6,No,21,4.0,4,Part Time,0,,3,3.0,3,,1,1,1990,Yes,26220.0
851,No,travel_rarely,331.4,Research & Development,2,Bachelor,,852,3,Female,41.42,2,1,Laboratory technician,4,Single,6959.33,7,No,15,3.0,2,Full Time,0,,3,2.0,2,,2,2,1971,Yes,32120.0
852,No,travel_rarely,290.04,Human Resources,6,Professional Certification,Medical,853,2,Male,,3,1,Human resources,3,Married,6090.75,8,No,17,3.0,4,Part Time,0,,2,2.0,2,,2,2,1964,No,28111.13
853,Yes,non-travel,290.04,Research & Development,1,Bachelor,,854,4,Male,,2,1,Laboratory technician,3,Single,6090.75,0,No,14,3.0,4,,0,4.0,2,1.0,3,,1,2,1991,Yes,28111.08
854,No,non-travel,290.04,Research & Development,24,Masters,Medical,855,2,Female,36.25,3,1,Laboratory technician,3,Divorced,6090.75,7,No,14,3.0,3,Part Time,3,7.0,1,3.0,3,,1,2,1984,No,28111.13
855,No,non-travel,556.26,Sales,26,Masters,Marketing,856,3,Male,69.53,3,2,Sales executive,4,Unknown,11681.39,0,No,18,3.0,1,Part Time,0,4.0,2,3.0,3,,2,2,1991,Yes,53914.11
856,No,non-travel,1032.49,Research & Development,3,Masters,Medical,857,2,Male,,3,3,Research director,3,Divorced,21682.23,9,No,12,3.0,1,Part Time,1,,3,3.0,2,,2,2,1992,Yes,100071.84
857,No,travel_rarely,300.34,Research & Development,5,Masters,Life Sciences,858,3,Female,,2,1,Research scientist,4,Married,6307.17,1,No,13,3.0,3,Full Time,1,2.0,2,2.0,2,,0,2,1990,Yes,29110.0
858,No,non-travel,556.26,Research & Development,23,Masters,Life Sciences,859,1,Male,,4,2,Manufacturing director,3,Unknown,11681.39,4,No,17,3.0,4,,1,9.0,1,3.0,3,,0,2,1978,Yes,53914.08
859,No,non-travel,556.26,Research & Development,17,Professional Certification,,860,4,Female,69.53,4,2,Research scientist,1,Single,11681.39,3,Yes,13,3.0,3,Part Time,0,,1,3.0,3,,0,2,1981,Yes,53914.11
860,No,non-travel,715.1,Sales,19,Professional Certification,Marketing,861,4,Male,89.39,3,2,Sales executive,4,Divorced,15017.17,2,No,14,3.0,4,Full Time,1,,2,3.0,3,,0,2,1994,No,69310.0
861,No,travel_rarely,556.26,Research & Development,1,Bachelor,,862,1,Female,,3,2,Manufacturing director,3,Married,11681.39,0,No,12,3.0,4,,2,5.0,3,3.0,4,,1,2,1998,No,53914.11
862,No,non-travel,224.51,Research & Development,2,High School or Below,,863,4,Male,,2,2,Laboratory technician,1,Unknown,4714.67,4,No,13,3.0,4,Part Time,0,9.0,5,3.0,6,,0,4,1991,No,21760.0
863,No,travel_rarely,290.04,Research & Development,9,Bachelor,,864,4,Male,,3,1,Research scientist,4,Married,6090.75,1,No,23,4.0,4,,1,,3,,5,,0,4,1995,Yes,28111.13
864,No,travel_rarely,333.25,Research & Development,3,Professional Certification,,865,4,Male,,2,1,Research scientist,3,Single,6998.33,1,No,17,3.0,1,Full Time,0,,4,4.0,3,,1,0,2002,No,32300.0
865,No,non-travel,1032.49,Research & Development,1,Masters,Medical,866,1,Female,129.06,3,3,Research director,4,Divorced,21682.23,2,Yes,18,3.0,1,Part Time,2,,2,3.0,5,,0,2,1986,No,100071.84
866,No,travel_rarely,556.26,Research & Development,23,Masters,Life Sciences,867,4,Male,,3,2,Healthcare representative,4,Unknown,11681.39,9,No,14,3.0,2,Part Time,1,,2,3.0,2,,1,2,1985,No,53914.11
867,Yes,travel_rarely,290.04,Research & Development,16,Masters,Medical,868,1,Male,,3,1,Laboratory technician,2,Divorced,6090.75,2,Yes,13,3.0,4,Part Time,1,,2,3.0,3,,0,2,1997,No,28111.13
868,No,non-travel,1925.75,Research & Development,10,Masters,Life Sciences,869,3,Female,240.72,3,5,Research director,1,Single,40440.83,9,Yes,11,3.0,4,Full Time,0,,4,3.0,3,,1,2,1974,Yes,186650.0
869,No,travel_frequently,287.75,Sales,5,Bachelor,,870,4,Female,,3,1,Sales representative,2,Divorced,6042.83,1,No,11,3.0,3,Part Time,1,2.0,5,2.0,2,,2,2,1992,Yes,27890.0
870,No,travel_frequently,290.04,Research & Development,9,Bachelor,Medical,871,2,Male,,3,1,Research scientist,4,Married,6090.75,1,No,12,3.0,3,Part Time,3,,3,2.0,4,,1,2,1986,No,28111.13
871,No,travel_rarely,290.04,Research & Development,11,Masters,,872,1,Male,,3,1,Research scientist,4,Married,6090.75,0,No,12,3.0,3,Part Time,1,,4,3.0,5,,0,3,1992,Yes,28111.13
872,No,travel_rarely,661.35,Human Resources,2,Bachelor,Human Resources,873,1,Male,82.67,2,2,Human resources,1,Unknown,13888.33,3,No,12,3.0,4,Full Time,0,,1,3.0,2,,1,0,1992,No,64100.0
873,No,non-travel,290.04,Research & Development,2,Masters,,874,3,Male,36.25,3,1,Research scientist,4,Unknown,6090.75,0,No,18,3.0,2,Part Time,1,3.0,2,1.0,2,,2,2,1992,Yes,28111.13
874,Yes,non-travel,509.79,Research & Development,17,Masters,Medical,875,1,Male,,2,2,Research scientist,2,Unknown,10705.5,2,No,15,,1,Part Time,0,11.0,3,2.0,8,,7,7,1971,No,49410.0
875,Yes,non-travel,290.04,Research & Development,2,Masters,Medical,876,1,Male,,1,1,Research scientist,4,Married,6090.75,5,Yes,13,3.0,4,,0,,4,2.0,3,,2,2,1995,Yes,28111.08
876,No,travel_rarely,1973.98,Research & Development,5,Doctor,,877,4,Male,246.75,3,5,Research director,3,Married,41453.67,4,No,11,3.0,2,Full Time,1,21.0,2,3.0,3,,1,1,1976,No,191324.62
877,No,non-travel,410.94,Research & Development,9,Doctor,Other,878,2,Male,,2,1,Laboratory technician,4,Unknown,8629.83,0,No,17,3.0,3,Full Time,0,4.0,2,,3,,2,2,1994,Yes,39830.0
878,No,non-travel,654.85,Research & Development,5,Professional Certification,Medical,879,4,Male,,3,2,Manufacturing director,4,Unknown,13751.83,7,No,16,3.0,3,,2,8.0,2,2.0,6,,0,4,1986,Yes,63470.04
879,No,non-travel,299.62,Research & Development,26,High School or Below,,880,3,Male,,3,1,Research scientist,4,Unknown,6292.0,1,No,12,3.0,3,Full Time,2,,2,2.0,4,,0,2,2000,No,29040.0
880,No,travel_rarely,278.16,Human Resources,2,High School or Below,,881,3,Male,,3,1,Human resources,3,Divorced,5841.33,0,Yes,11,3.0,3,,1,4.0,5,3.0,3,,1,0,1981,No,26960.04
881,No,non-travel,556.26,Sales,25,Professional Certification,,882,4,Female,,3,2,Sales executive,3,Unknown,11681.39,7,No,12,3.0,2,,1,4.0,2,4.0,2,,2,2,1993,No,53914.08
882,Yes,non-travel,224.3,Sales,31,High School or Below,,883,1,Female,28.04,2,1,Sales representative,2,Single,4710.33,1,No,11,3.0,3,Part Time,0,3.0,3,3.0,3,,1,2,2002,Yes,21740.0
883,No,travel_rarely,696.94,Research & Development,1,Masters,Medical,884,4,Male,,3,2,Healthcare representative,3,Unknown,14635.83,2,No,11,3.0,3,,0,,2,3.0,3,,1,2,1966,Yes,67550.04000000001
884,No,non-travel,290.04,Sales,9,Professional Certification,,885,1,Male,,3,1,Sales representative,4,Single,6090.75,1,No,24,4.0,3,,0,3.0,3,2.0,3,"2,0",2,2,2002,Yes,28111.13
885,No,travel_rarely,274.13,Research & Development,9,Masters,Life Sciences,886,3,Male,34.27,2,1,Research scientist,2,Unknown,5756.83,0,No,16,3.0,4,Part Time,0,3.0,5,3.0,2,,2,2,1992,Yes,26570.0
886,No,non-travel,290.04,Research & Development,17,Bachelor,,887,1,Male,36.25,3,1,Research scientist,4,Unknown,6090.75,9,No,16,,4,Part Time,0,6.0,4,3.0,3,,1,2,1994,No,28111.13
887,No,travel_rarely,290.04,Research & Development,1,Professional Certification,,888,4,Male,,3,1,Laboratory technician,2,Unknown,6090.75,1,No,11,3.0,2,Part Time,1,5.0,2,3.0,5,,0,4,1996,Yes,28111.13
888,No,travel_rarely,1131.31,Research & Development,7,Bachelor,Other,889,2,Male,141.41,2,3,Healthcare representative,3,Single,23757.5,8,No,24,4.0,3,Full Time,0,,2,3.0,5,,0,0,1974,Yes,109650.0
889,No,travel_rarely,262.37,Research & Development,2,Bachelor,,890,4,Female,32.8,3,1,Research scientist,3,Married,5509.83,4,No,13,3.0,2,Part Time,1,,3,3.0,2,,2,2,1987,Yes,25430.0
890,Yes,non-travel,547.24,Sales,19,Bachelor,Marketing,891,1,Male,68.4,4,2,Sales executive,4,Unknown,11492.0,8,Yes,13,3.0,2,Part Time,0,,3,2.0,5,,0,4,1989,Yes,53040.0
891,No,non-travel,556.26,Sales,10,Masters,Marketing,892,4,Female,,3,2,Sales executive,3,Divorced,11681.39,1,Yes,12,3.0,4,Part Time,1,,2,4.0,5,,0,3,1999,Yes,53914.11
892,No,non-travel,290.04,Research & Development,1,Masters,,893,2,Female,,3,1,Laboratory technician,1,Unknown,6090.75,3,No,16,3.0,2,Part Time,1,8.0,5,3.0,5,,1,2,1981,Yes,28111.13
893,No,non-travel,2002.21,Research & Development,5,Professional Certification,Medical,894,1,Male,,3,5,Research director,1,Married,42046.33,4,No,11,3.0,3,Full Time,1,24.0,4,2.0,4,,1,2,1969,No,194060.0
894,No,non-travel,674.56,Sales,4,Masters,,895,3,Female,84.32,3,2,Sales executive,3,Married,14165.67,9,No,15,3.0,1,Full Time,1,,3,3.0,3,,1,2,1989,Yes,65380.0
895,No,non-travel,232.97,Research & Development,21,Bachelor,,896,4,Male,,3,1,Laboratory technician,4,Unknown,4892.33,7,No,20,4.0,1,,1,,1,3.0,3,,1,2,1980,Yes,22580.04
896,No,travel_rarely,556.26,Research & Development,8,Masters,Other,897,3,Female,,3,2,Healthcare representative,3,Unknown,11681.39,4,Yes,14,3.0,4,Part Time,0,,3,3.0,5,,0,2,1980,Yes,53914.11
897,No,travel_rarely,228.84,Research & Development,1,Professional Certification,,898,4,Male,,2,1,Laboratory technician,1,Married,4805.67,1,No,12,3.0,3,Part Time,1,4.0,3,,4,,3,2,1992,No,22180.0
898,Yes,travel_rarely,290.04,Research & Development,3,Bachelor,Medical,899,1,Male,,3,1,Laboratory technician,1,Married,6090.75,5,No,13,3.0,3,Part Time,1,6.0,5,,2,,0,2,1998,Yes,28111.13
899,No,non-travel,273.83,Research & Development,10,Professional Certification,Life Sciences,900,1,Male,,3,1,Research scientist,4,Married,5750.33,3,No,21,,4,Part Time,2,8.0,3,2.0,2,,0,2,1978,Yes,26540.0
900,No,travel_rarely,1582.77,Unknown,4,Professional Certification,Life Sciences,901,4,Female,,3,4,Manager,4,Married,33238.2,2,No,13,3.0,4,Full Time,0,31.0,2,1.0,5,,1,4,1971,No,153407.07
901,Yes,travel_frequently,290.04,Sales,6,Professional Certification,,902,4,Female,,1,1,Sales representative,3,Unknown,6090.75,0,No,16,3.0,4,Part Time,1,3.0,3,2.0,2,,1,0,1989,Yes,28111.13
902,No,travel_rarely,290.04,Research & Development,23,Bachelor,Life Sciences,903,1,Female,,3,1,Research scientist,4,Divorced,6090.75,1,No,22,4.0,2,Part Time,2,,3,1.0,3,,0,2,1997,Yes,28111.13
903,No,non-travel,1231.39,Research & Development,3,Masters,,904,2,Male,153.92,2,3,Research director,3,Unknown,25859.17,1,No,18,3.0,3,Full Time,0,,2,3.0,10,,0,7,1994,Yes,119350.0
904,Yes,non-travel,262.68,Research & Development,25,Doctor,Technical Degree,905,3,Female,,2,1,Research scientist,2,Married,5516.33,5,No,16,3.0,2,Part Time,0,6.0,2,4.0,2,,1,1,1994,No,25460.0
905,No,non-travel,1842.8,Research & Development,2,Bachelor,Life Sciences,906,1,Male,,3,4,Research director,3,Married,38698.83,6,No,13,3.0,3,Full Time,0,,2,1.0,3,,0,1,1977,No,178610.0
906,No,non-travel,1032.49,Sales,10,Bachelor,Marketing,907,3,Female,,2,3,Sales executive,4,Unknown,21682.23,2,No,19,3.0,3,,1,15.0,3,3.0,3,,1,2,1977,No,100071.84
907,No,travel_rarely,290.04,Sales,7,High School or Below,Marketing,908,4,Male,,3,1,Sales representative,2,Single,6090.75,0,No,14,3.0,1,Part Time,0,,3,3.0,3,,1,2,1993,Yes,28111.13
908,Yes,travel_frequently,1032.49,Human Resources,23,Bachelor,,909,2,Female,129.06,3,3,Human resources,1,Divorced,21682.23,9,Yes,15,3.0,3,Part Time,3,,2,3.0,3,,0,2,1989,No,100071.84
909,No,non-travel,290.04,Research & Development,5,Professional Certification,Other,910,2,Male,36.25,3,1,Laboratory technician,3,Married,6090.75,4,No,17,3.0,4,Part Time,1,,4,,2,,2,0,1981,Yes,28111.13
910,Yes,non-travel,401.76,Research & Development,25,High School or Below,Technical Degree,911,3,Male,50.22,2,1,Laboratory technician,3,Single,8437.0,5,No,16,3.0,3,Full Time,0,4.0,3,3.0,2,,1,2,2001,Yes,38940.0
911,No,travel_rarely,439.73,Research & Development,19,Bachelor,Technical Degree,912,4,Male,,3,2,Manufacturing director,4,Divorced,9234.33,4,No,12,3.0,2,Part Time,2,8.0,2,4.0,3,"2,0",1,2,1994,Yes,42620.0
912,No,travel_frequently,1086.12,Research & Development,18,High School or Below,Medical,913,1,Female,,3,3,Healthcare representative,3,Married,22808.5,5,No,11,3.0,4,,0,,3,2.0,2,,1,2,1977,Yes,105270.0
913,Yes,non-travel,556.26,Sales,11,Masters,Other,914,4,Male,,4,2,Sales executive,3,Unknown,11681.39,8,No,12,3.0,4,Part Time,0,,2,3.0,4,,1,2,1991,Yes,53914.11
914,No,non-travel,247.62,Sales,24,Bachelor,Medical,915,4,Male,,3,1,Sales representative,4,Unknown,5200.0,0,No,13,3.0,3,,2,3.0,3,3.0,2,,2,1,1999,No,24000.0
915,No,travel_rarely,379.79,Research & Development,25,Professional Certification,,916,1,Male,,2,2,Laboratory technician,4,Single,7975.5,4,No,14,3.0,4,Part Time,0,,3,3.0,3,,0,2,1988,No,36810.0
916,No,non-travel,556.26,Research & Development,2,Masters,Life Sciences,917,3,Female,,3,2,Healthcare representative,4,Married,11681.39,1,No,13,3.0,2,Part Time,2,10.0,4,3.0,10,,2,2,1981,Yes,53914.11
917,No,travel_rarely,1582.77,Unknown,1,Masters,,918,4,Female,197.85,2,4,Manager,1,Married,33238.2,7,No,11,3.0,1,Full Time,1,21.0,3,1.0,3,,0,2,1975,Yes,153407.07
918,No,travel_rarely,556.26,Human Resources,1,Masters,,919,1,Female,,2,2,Human resources,3,Unknown,11681.39,4,No,11,,2,Part Time,0,10.0,1,4.0,2,"2,0",0,2,1979,Yes,53914.11
919,No,non-travel,290.04,Sales,14,Bachelor,,920,3,Female,36.25,3,1,Sales representative,3,Unknown,6090.75,1,Yes,18,3.0,4,Part Time,2,8.0,3,3.0,8,,0,6,1989,Yes,28111.13
920,No,non-travel,355.64,Sales,22,High School or Below,Technical Degree,921,3,Male,,3,1,Sales representative,3,Unknown,7468.5,1,No,11,,3,Full Time,0,,2,3.0,3,,1,2,2002,Yes,34470.0
921,No,travel_rarely,2013.25,Unknown,3,Masters,,922,4,Male,,3,5,Manager,4,Unknown,42278.17,4,No,12,3.0,1,,1,26.0,2,4.0,2,,0,1,1979,Yes,195129.96
922,No,travel_rarely,290.04,Research & Development,6,High School or Below,Medical,923,1,Male,,3,1,Research scientist,3,Married,6090.75,0,No,20,4.0,4,Part Time,0,,3,3.0,2,,2,2,2001,Yes,28111.13
923,No,travel_rarely,274.34,Research & Development,6,Bachelor,,924,3,Female,,3,1,Laboratory technician,4,Unknown,5761.17,1,Yes,13,,3,,1,,2,3.0,3,,0,2,1997,No,26589.96
924,No,non-travel,912.79,Research & Development,9,Professional Certification,Medical,925,2,Male,,2,2,Manufacturing director,2,Unknown,19168.5,2,Yes,11,3.0,3,Full Time,1,13.0,2,3.0,3,,0,2,1987,Yes,88470.0
925,No,non-travel,210.99,Research & Development,3,Masters,Medical,926,1,Male,26.37,2,1,Research scientist,4,Single,4430.83,0,No,13,3.0,4,Part Time,0,5.0,0,3.0,4,,1,1,1996,Yes,20450.0
926,No,travel_rarely,290.04,Research & Development,4,Bachelor,,927,1,Male,,4,1,Research scientist,1,Unknown,6090.75,2,No,16,3.0,1,Part Time,1,5.0,3,4.0,3,,0,2,2000,No,28111.13
927,No,non-travel,500.5,Sales,8,Bachelor,Life Sciences,928,4,Male,,4,2,Sales executive,2,Unknown,10510.5,0,No,22,4.0,3,Part Time,1,4.0,4,3.0,3,,1,2,1998,No,48510.0
928,No,non-travel,837.78,Sales,14,High School or Below,,929,1,Male,104.72,4,2,Sales executive,2,Married,17593.33,3,No,12,3.0,4,Full Time,0,,3,3.0,2,,2,2,1975,Yes,81200.0
929,Yes,travel_rarely,472.23,Sales,3,Professional Certification,Life Sciences,930,1,Female,59.03,3,2,Sales executive,3,Single,9916.83,9,No,14,3.0,1,Part Time,0,,3,3.0,2,,2,0,1999,Yes,45770.0
930,No,travel_rarely,557.66,Sales,16,Masters,,931,1,Male,,3,2,Sales executive,1,Single,11710.83,8,No,14,3.0,4,Full Time,0,10.0,1,3.0,2,,2,2,1963,No,54050.0
931,No,non-travel,290.04,Sales,8,Masters,Marketing,932,4,Male,36.25,3,1,Sales representative,2,Married,6090.75,7,No,15,3.0,4,Part Time,1,4.0,2,3.0,2,,2,2,1973,Yes,28111.13
932,No,non-travel,382.57,Research & Development,24,Bachelor,,933,1,Male,47.82,1,1,Laboratory technician,3,Single,8034.0,2,No,14,3.0,3,Full Time,0,9.0,5,3.0,5,,1,4,1979,No,37080.0
933,No,travel_frequently,1420.71,Sales,3,Bachelor,,934,4,Female,,3,4,Sales executive,3,Divorced,29835.0,9,Yes,12,3.0,4,Full Time,2,28.0,2,2.0,22,,11,13,1976,Yes,137700.0
934,Yes,non-travel,290.04,Research & Development,19,Bachelor,,935,3,Male,,4,1,Research scientist,3,Divorced,6090.75,6,No,12,3.0,4,Part Time,0,,2,3.0,2,,2,2,1981,Yes,28111.13
935,No,travel_frequently,556.26,Sales,15,Bachelor,Life Sciences,936,4,Male,,2,2,Sales executive,4,Married,11681.39,3,No,18,,3,Part Time,1,7.0,5,3.0,2,,2,2,1980,Yes,53914.11
936,No,non-travel,290.04,Research & Development,2,High School or Below,,937,4,Female,,2,1,Research scientist,4,Single,6090.75,0,No,20,4.0,4,Part Time,0,5.0,2,2.0,4,,2,3,1983,No,28111.13
937,No,non-travel,236.99,Sales,10,Bachelor,,938,4,Male,,3,1,Sales representative,2,Unknown,4976.83,1,No,14,3.0,4,,2,,2,3.0,2,,2,2,1994,No,22970.04
938,No,non-travel,252.78,Research & Development,6,Bachelor,,939,4,Male,,3,2,Laboratory technician,4,Single,5308.33,2,No,17,3.0,4,Part Time,0,19.0,4,3.0,2,,2,2,1970,No,24500.0
939,No,travel_rarely,290.04,Research & Development,12,High School or Below,Medical,940,1,Male,,4,1,Research scientist,3,Single,6090.75,1,No,18,3.0,4,Part Time,0,,3,3.0,2,,0,2,2000,No,28111.13
940,Yes,non-travel,1973.98,Unknown,2,Bachelor,Medical,941,4,Male,,3,5,Manager,1,Unknown,41453.67,5,Yes,13,3.0,4,,1,24.0,2,3.0,5,,1,4,1968,No,191324.63999999998
941,No,travel_frequently,290.04,Research & Development,1,Professional Certification,Life Sciences,942,1,Female,36.25,1,1,Laboratory technician,4,Unknown,6090.75,3,No,14,3.0,1,Part Time,1,,2,3.0,2,,2,0,1997,Yes,28111.13
942,No,travel_rarely,290.04,Research & Development,1,Masters,,943,2,Female,,4,1,Research scientist,4,Single,6090.75,2,No,16,3.0,3,,0,,2,3.0,4,,1,3,1989,No,28111.08
943,No,non-travel,447.98,Sales,8,High School or Below,Marketing,944,3,Male,,3,2,Sales executive,4,Married,9407.67,0,No,19,3.0,2,Part Time,1,5.0,3,3.0,4,,1,1,1996,Yes,43420.0
944,No,travel_rarely,265.37,Sales,8,Masters,,945,1,Female,,3,1,Sales representative,4,Unknown,5572.67,1,No,16,3.0,2,,1,3.0,1,2.0,3,,0,2,1988,Yes,25719.96
945,No,travel_rarely,290.04,Research & Development,18,Bachelor,,946,4,Male,36.25,1,1,Laboratory technician,3,Married,6090.75,3,No,21,,3,Part Time,2,7.0,2,3.0,2,,0,2,1993,Yes,28111.13
946,No,non-travel,670.63,Sales,8,Professional Certification,,947,3,Female,,3,2,Sales executive,1,Unknown,14083.33,5,No,17,3.0,2,,1,,1,3.0,3,,1,2,1989,Yes,65000.04
947,No,travel_rarely,324.9,Research & Development,25,Masters,Life Sciences,948,2,Female,40.61,3,2,Laboratory technician,3,Unknown,6822.83,8,No,20,4.0,2,Part Time,1,9.0,3,3.0,5,,1,4,1971,Yes,31490.0
